reflectance_365nm_percent,reflectance_405nm_percent,reflectance_430nm_percent,reflectance_450nm_percent,reflectance_470nm_percent,reflectance_490nm_percent,reflectance_515nm_percent,reflectance_540nm_percent,reflectance_570nm_percent,reflectance_590nm_percent,reflectance_630nm_percent,reflectance_645nm_percent,reflectance_660nm_percent,reflectance_690nm_percent,reflectance_780nm_percent,reflectance_850nm_percent,reflectance_880nm_percent,reflectance_940nm_percent,reflectance_970nm_percent,class,sample_id
54.361916,44.060127,49.02486,60.70838,68.3779,77.64376,79.328285,73.09827,75.68085,78.4103,84.24106,85.16841,59.50889,63.923668,62.93021,63.3377,70.12976,63.917233,59.286858,0,11.0
76.10032,70.11779,67.60699,68.18683,69.81819,70.78189,68.6744,65.159515,67.82081,80.14252,85.55755,86.66878,54.437565,56.2823,59.0827,59.373665,68.08799,63.23945,57.308556,0,12.0
69.32,58.384026,59.370434,69.74201,75.13574,80.92226,77.83874,74.02432,75.075516,77.01077,83.63207,84.7157,65.39107,66.23761,63.820827,63.018375,67.90577,60.259712,59.098614,0,13.0
49.01863,38.860386,46.64681,60.158943,70.335594,79.80517,73.50226,66.29387,68.72803,76.00849,84.006805,85.363266,64.28865,61.5508,63.197243,64.25371,69.98501,64.62088,59.808056,0,14.0
59.238308,50.071877,57.00446,68.24225,71.75494,77.33933,78.25741,73.09885,76.96945,78.61929,85.12575,86.23912,72.287575,75.8392,71.9057,71.76143,73.91364,63.958298,64.81922,0,15.0
55.487286,45.75136,47.715427,55.442818,61.616898,69.881454,65.43905,62.448418,59.729927,69.11737,77.292564,79.0925,66.53486,60.079956,60.785885,59.973152,64.12136,59.394096,55.25076,0,16.0
53.760845,46.849735,53.558372,61.682423,67.99939,70.942024,68.855446,70.21195,64.93412,67.54266,77.65698,79.49234,59.132225,59.139526,61.25504,61.34065,65.87423,60.949677,57.272488,0,17.0
55.520767,47.998474,51.04066,57.483833,65.48785,70.819115,64.28257,61.239902,59.951973,70.41217,78.42209,79.69663,58.810753,61.542583,63.071453,62.204597,67.092094,66.929825,60.765205,0,18.0
62.90742,53.71169,56.220997,61.892014,68.93245,78.29848,75.8935,70.43395,72.70875,74.685814,82.470535,84.29308,64.84744,61.883587,60.26495,59.636204,65.93356,58.154453,55.003174,0,19.0
49.78159,39.477352,42.15454,51.10217,53.97088,53.31352,50.02558,44.223396,47.947197,70.10644,77.4105,78.626526,70.56855,61.939156,71.97724,70.63268,71.33799,65.124084,69.03517,0,20.0
56.705154,45.753677,45.139957,53.674324,61.15703,68.13735,66.42855,61.196907,70.22452,77.0336,83.52856,84.8721,72.080055,68.78675,67.87697,67.61263,71.043526,63.832146,61.69082,0,21.0
69.180504,58.462303,59.053493,65.77986,69.558044,73.35572,76.14281,73.64706,74.7457,75.47041,82.61161,83.63644,65.93461,68.13262,64.84404,65.99311,70.74514,60.023544,63.95945,0,22.0
